university,year,score_line,avg_score_x,score_diff,is_985,is_211,admission_count
南京邮电大学,2012,546,601,55,0,0,47.0
南京邮电大学,2013,501,567,66,0,0,62.0
南京邮电大学,2014,506,581,75,0,0,0.0
南京邮电大学,2015,525,596,71,0,0,0.0
南京财经大学,2011,573,625,52,0,0,0.0
南京财经大学,2012,546,599,53,0,0,0.0
南京财经大学,2013,501,571,70,0,0,22.0
南京财经大学,2014,506,583,77,0,0,0.0
南京财经大学,2015,525,598,73,0,0,0.0
南京航空航天大学,2011,573,637,64,0,1,0.0
南京航空航天大学,2012,546,610,64,0,1,111.0
南京航空航天大学,2013,501,596,95,0,1,96.0
南京航空航天大学,2014,506,611,105,0,1,0.0
南京理工大学,2011,573,634,61,0,1,0.0
南京理工大学,2012,546,607,61,0,1,145.0
南京理工大学,2013,501,587,86,0,1,165.0
南京理工大学,2014,506,603,97,0,1,0.0
南京理工大学,2015,525,618,93,0,1,0.0
南京林业大学,2011,573,592,19,0,0,0.0
南京林业大学,2014,506,533,27,0,0,0.0
南京工业大学,2011,573,608,35,0,0,0.0
南京工业大学,2012,546,578,32,0,0,37.0
南京工业大学,2013,501,550,49,0,0,35.0
南京工业大学,2014,506,566,60,0,0,0.0
南京工业大学,2015,525,583,58,0,0,0.0
南京审计学院,2011,573,637,64,0,0,0.0
南京审计学院,2012,546,614,68,0,0,10.0
南京审计学院,2013,501,592,91,0,0,10.0
南京审计学院,2014,506,599,93,0,0,0.0
南京大学,2011,573,669,96,1,1,0.0
南京大学,2012,546,653,107,1,1,44.0
南京大学,2013,501,640,139,1,1,46.0
南京大学,2014,506,651,145,1,1,0.0
南京医科大学,2011,573,637,64,0,0,0.0
南京医科大学,2012,546,609,63,0,0,20.0
南京医科大学,2013,501,577,76,0,0,35.0
南京医科大学,2014,506,602,96,0,0,0.0
南京医科大学,2015,525,603,78,0,0,0.0
南京农业大学,2011,573,600,27,0,1,0.0
南京农业大学,2012,546,585,39,0,1,0.0
南京农业大学,2013,501,560,59,0,1,100.0
南京农业大学,2014,506,576,70,0,1,0.0
南京农业大学,2015,525,591,66,0,1,0.0
南京信息工程大学,2011,573,598,25,0,0,0.0
南京信息工程大学,2012,546,578,32,0,0,39.0
南京信息工程大学,2013,501,553,52,0,0,30.0
南京信息工程大学,2014,506,560,54,0,0,0.0
华南理工大学,2011,573,646,73,1,1,0.0
华南理工大学,2012,546,627,81,1,1,86.0
华南理工大学,2013,501,608,107,1,1,107.0
华南理工大学,2014,506,632,126,1,1,0.0
华南农业大学,2012,546,563,17,0,0,0.0
华南农业大学,2014,506,551,45,0,0,0.0
华南农业大学,2015,525,567,42,0,0,0.0
华北电力大学保定校区,2012,546,612,66,0,0,72.0
华北电力大学保定校区,2013,501,574,73,0,0,0.0
华北电力大学,2012,546,608,62,0,1,74.0
华北电力大学,2013,501,601,100,0,1,73.0
华北电力大学,2015,525,630,105,0,1,0.0
华侨大学,2011,573,593,20,0,0,0.0
华侨大学,2012,546,567,21,0,0,1160.0
华侨大学,2013,501,538,37,0,0,1077.0
华侨大学,2014,506,550,44,0,0,0.0
华侨大学,2015,525,580,55,0,0,0.0
华中科技大学,2013,501,612,111,1,1,0.0
华中科技大学,2014,506,633,127,1,1,0.0
华中师范大学,2011,573,616,43,0,1,0.0
华中师范大学,2012,546,595,49,0,1,52.0
华中师范大学,2013,501,570,69,0,1,54.0
华中师范大学,2014,506,599,93,0,1,0.0
华中师范大学,2015,525,611,86,0,1,0.0
华中农业大学,2011,573,595,22,0,1,0.0
华中农业大学,2012,546,576,30,0,1,0.0
华中农业大学,2013,501,553,52,0,1,0.0
华中农业大学,2014,506,570,64,0,1,0.0
华东理工大学,2011,573,633,60,0,1,0.0
华东理工大学,2012,546,614,68,0,1,80.0
华东理工大学,2013,501,594,93,0,1,82.0
华东理工大学,2014,506,609,103,0,1,0.0
华东理工大学,2015,525,622,97,0,1,0.0
华东政法大学,2011,573,635,62,0,0,0.0
华东政法大学,2012,546,614,68,0,0,51.0
华东政法大学,2013,501,592,91,0,0,43.0
华东政法大学,2014,506,609,103,0,0,0.0
华东师范大学,2011,573,642,69,1,1,0.0
华东师范大学,2012,546,620,74,1,1,55.0
华东师范大学,2013,501,605,104,1,1,67.0
华东师范大学,2014,506,622,116,1,1,0.0
华东交通大学,2014,506,555,49,0,0,0.0
华东交通大学,2015,525,577,52,0,0,0.0
北方工业大学,2011,573,603,30,0,0,0.0
北方工业大学,2013,501,543,42,0,0,41.0
北方工业大学,2014,506,560,54,0,0,0.0
北方工业大学,2015,525,574,49,0,0,0.0
北京邮电大学,2011,573,657,84,0,1,0.0
