,university,year,major,avg_major_score,stu_count,stu_ranking,score_line,avg_score,score_diff
2194,中国医科大学,2015,信息管理与信息系统,592,299.0,11776.0,,,
2199,中国农业大学,2013,地理信息科学,589,183.0,5663.0,,,
2210,中南财经政法大学,2013,信息管理与信息系统,592,191.0,5135.0,,,
2211,中南财经政法大学,2013,信息与计算科学,580,211.0,7459.0,,,
2261,东华大学,2013,通信工程,579,221.0,7680.0,501.0,580.0,79.0
2263,东华大学,2013,软件工程,579,221.0,7680.0,501.0,580.0,79.0
2265,东华大学,2013,计算机科学与技术,575,249.0,8631.0,501.0,580.0,79.0
2266,东华大学,2013,自动化,572,282.0,9364.0,501.0,580.0,79.0
2268,东华大学,2013,电气工程及其自动化,585,195.0,6402.0,501.0,580.0,79.0
2269,东华大学,2015,电气工程及其自动化,613,225.0,6362.0,525.0,611.0,86.0
2272,东北财经大学,2015,计算机科学与技术,609,226.0,7236.0,525.0,611.0,86.0
2274,东北财经大学,2013,电子商务,577,217.0,8149.0,501.0,590.0,89.0
2276,东北财经大学,2013,信息管理与信息系统,592,191.0,5135.0,501.0,590.0,89.0
2293,东北林业大学,2014,电气工程及其自动化,575,278.0,12352.0,506.0,551.0,45.0
2305,东北师范大学,2013,软件工程,553,320.0,14940.0,501.0,547.0,46.0
2306,东北师范大学,2015,软件工程,587,342.0,13284.0,525.0,591.0,66.0
2317,东北大学秦皇岛分校,2013,电子信息工程,560,293.0,12725.0,,,
2320,东北大学秦皇岛分校,2013,信息管理与信息系统,559,308.0,13033.0,,,
2324,东北大学,2013,计算机科学与技术,589,183.0,5663.0,501.0,582.0,81.0
2325,东北大学,2015,计算机科学与技术,595,297.0,10944.0,525.0,605.0,80.0
2328,东北大学,2015,自动化,595,297.0,10944.0,525.0,605.0,80.0
2329,东北大学,2015,电气工程及其自动化,595,297.0,10944.0,525.0,605.0,80.0
2331,东北大学,2013,电子信息类,583,203.0,6809.0,501.0,582.0,81.0
2332,东北大学,2015,电子信息类,618,211.0,5327.0,525.0,605.0,80.0
2335,东北大学,2015,信息安全,611,222.0,6792.0,525.0,605.0,80.0
2354,上海理工大学,2015,计算机类,604,247.0,8438.0,,,
2355,上海理工大学,2015,电气类,592,299.0,11776.0,,,
2360,上海海事大学,2015,计算机类,589,293.0,12639.0,525.0,586.0,61.0
2375,上海大学,2015,电气工程及其自动化,618,211.0,5327.0,525.0,617.0,92.0
